audio_id,caption
horse_neighing_02_01,The sound of horse neighing.
horse_neighing_03_01,An audio clip of horse neighing.
playing_double_bass_01_01,playing double bass.
playing_double_bass_02_01,The sound of playing double bass.
playing_double_bass_03_01,An audio clip of playing double bass.
playing_cello_01_01,playing cello.
playing_cello_02_01,The sound of playing cello.
playing_cello_03_01,An audio clip of playing cello.
people_booing_01_01,people booing.
people_booing_02_01,The sound of people booing.
people_booing_03_01,An audio clip of people booing.
playing_electric_guitar_01_01,playing electric guitar.
playing_electric_guitar_02_01,The sound of playing electric guitar.
playing_electric_guitar_03_01,An audio clip of playing electric guitar.
raining_01_01,raining.
raining_02_01,The sound of raining.
raining_03_01,An audio clip of raining.
gibbon_howling_01_01,gibbon howling.
gibbon_howling_02_01,The sound of gibbon howling.
gibbon_howling_03_01,An audio clip of gibbon howling.
toilet_flushing_01_01,toilet flushing.
toilet_flushing_02_01,The sound of toilet flushing.
toilet_flushing_03_01,An audio clip of toilet flushing.
missile_launch_01_01,missile launch.
missile_launch_02_01,The sound of missile launch.
missile_launch_03_01,An audio clip of missile launch.
driving_buses_01_01,driving buses.
driving_buses_02_01,The sound of driving buses.
driving_buses_03_01,An audio clip of driving buses.
motorboat_speedboat_acceleration_01_01,"motorboat, speedboat acceleration."
motorboat_speedboat_acceleration_02_01,"The sound of motorboat, speedboat acceleration."
motorboat_speedboat_acceleration_03_01,"An audio clip of motorboat, speedboat acceleration."
playing_didgeridoo_01_01,playing didgeridoo.
playing_didgeridoo_02_01,The sound of playing didgeridoo.
playing_didgeridoo_03_01,An audio clip of playing didgeridoo.
playing_glockenspiel_01_01,playing glockenspiel.
playing_glockenspiel_02_01,The sound of playing glockenspiel.
playing_glockenspiel_03_01,An audio clip of playing glockenspiel.
skiing_01_01,skiing.
skiing_02_01,The sound of skiing.
skiing_03_01,An audio clip of skiing.
playing_oboe_01_01,playing oboe.
playing_oboe_02_01,The sound of playing oboe.
playing_oboe_03_01,An audio clip of playing oboe.
arc_welding_01_01,arc welding.
arc_welding_02_01,The sound of arc welding.
arc_welding_03_01,An audio clip of arc welding.
sheep_bleating_01_01,sheep bleating.
sheep_bleating_02_01,The sound of sheep bleating.
sheep_bleating_03_01,An audio clip of sheep bleating.
chimpanzee_pant-hooting_01_01,chimpanzee pant-hooting.
chimpanzee_pant-hooting_02_01,The sound of chimpanzee pant-hooting.
chimpanzee_pant-hooting_03_01,An audio clip of chimpanzee pant-hooting.
playing_cornet_01_01,playing cornet.
playing_cornet_02_01,The sound of playing cornet.
playing_cornet_03_01,An audio clip of playing cornet.
lighting_firecrackers_01_01,lighting firecrackers.
lighting_firecrackers_02_01,The sound of lighting firecrackers.
lighting_firecrackers_03_01,An audio clip of lighting firecrackers.
bowling_impact_01_01,bowling impact.
bowling_impact_02_01,The sound of bowling impact.
bowling_impact_03_01,An audio clip of bowling impact.
cow_lowing_01_01,cow lowing.
cow_lowing_02_01,The sound of cow lowing.
cow_lowing_03_01,An audio clip of cow lowing.
planing_timber_01_01,planing timber.
planing_timber_02_01,The sound of planing timber.
planing_timber_03_01,An audio clip of planing timber.
people_finger_snapping_01_01,people finger snapping.
people_finger_snapping_02_01,The sound of people finger snapping.
people_finger_snapping_03_01,An audio clip of people finger snapping.
pigeon_dove_cooing_01_01,"pigeon, dove cooing."
pigeon_dove_cooing_02_01,"The sound of pigeon, dove cooing."
pigeon_dove_cooing_03_01,"An audio clip of pigeon, dove cooing."
fire_crackling_01_01,fire crackling.
fire_crackling_02_01,The sound of fire crackling.
fire_crackling_03_01,An audio clip of fire crackling.
playing_tabla_01_01,playing tabla.
playing_tabla_02_01,The sound of playing tabla.
playing_tabla_03_01,An audio clip of playing tabla.
cupboard_opening_or_closing_01_01,cupboard opening or closing.
cupboard_opening_or_closing_02_01,The sound of cupboard opening or closing.
cupboard_opening_or_closing_03_01,An audio clip of cupboard opening or closing.
crow_cawing_01_01,crow cawing.
crow_cawing_02_01,The sound of crow cawing.
crow_cawing_03_01,An audio clip of crow cawing.
vehicle_horn_car_horn_honking_01_01,"vehicle horn, car horn, honking."
vehicle_horn_car_horn_honking_02_01,"The sound of vehicle horn, car horn, honking."
vehicle_horn_car_horn_honking_03_01,"An audio clip of vehicle horn, car horn, honking."
playing_washboard_01_01,playing washboard.
playing_washboard_02_01,The sound of playing washboard.
playing_washboard_03_01,An audio clip of playing washboard.
fire_truck_siren_01_01,fire truck siren.
fire_truck_siren_02_01,The sound of fire truck siren.
fire_truck_siren_03_01,An audio clip of fire truck siren.
pumping_water_01_01,pumping water.
pumping_water_02_01,The sound of pumping water.
pumping_water_03_01,An audio clip of pumping water.
cat_growling_01_01,cat growling.
cat_growling_02_01,The sound of cat growling.
cat_growling_03_01,An audio clip of cat growling.
beat_boxing_01_01,beat boxing.
beat_boxing_02_01,The sound of beat boxing.
beat_boxing_03_01,An audio clip of beat boxing.
playing_bagpipes_01_01,playing bagpipes.
playing_bagpipes_02_01,The sound of playing bagpipes.
playing_bagpipes_03_01,An audio clip of playing bagpipes.
playing_trumpet_01_01,playing trumpet.
playing_trumpet_02_01,The sound of playing trumpet.
playing_trumpet_03_01,An audio clip of playing trumpet.
woodpecker_pecking_tree_01_01,woodpecker pecking tree.
woodpecker_pecking_tree_02_01,The sound of woodpecker pecking tree.
woodpecker_pecking_tree_03_01,An audio clip of woodpecker pecking tree.
playing_banjo_01_01,playing banjo.
playing_banjo_02_01,The sound of playing banjo.
playing_banjo_03_01,An audio clip of playing banjo.
people_crowd_01_01,people crowd.
people_crowd_02_01,The sound of people crowd.
people_crowd_03_01,An audio clip of people crowd.
chicken_crowing_01_01,chicken crowing.
chicken_crowing_02_01,The sound of chicken crowing.
chicken_crowing_03_01,An audio clip of chicken crowing.
rowboat_canoe_kayak_rowing_01_01,"rowboat, canoe, kayak rowing."
rowboat_canoe_kayak_rowing_02_01,"The sound of rowboat, canoe, kayak rowing."
rowboat_canoe_kayak_rowing_03_01,"An audio clip of rowboat, canoe, kayak rowing."
forging_swords_01_01,forging swords.
forging_swords_02_01,The sound of forging swords.
forging_swords_03_01,An audio clip of forging swords.
footsteps_on_snow_01_01,footsteps on snow.
footsteps_on_snow_02_01,The sound of footsteps on snow.
footsteps_on_snow_03_01,An audio clip of footsteps on snow.
driving_motorcycle_01_01,driving motorcycle.
driving_motorcycle_02_01,The sound of driving motorcycle.
driving_motorcycle_03_01,An audio clip of driving motorcycle.
owl_hooting_01_01,owl hooting.
owl_hooting_02_01,The sound of owl hooting.
owl_hooting_03_01,An audio clip of owl hooting.
mosquito_buzzing_01_01,mosquito buzzing.
mosquito_buzzing_02_01,The sound of mosquito buzzing.
mosquito_buzzing_03_01,An audio clip of mosquito buzzing.
air_horn_01_01,air horn.
air_horn_02_01,The sound of air horn.
air_horn_03_01,An audio clip of air horn.
child_speech_kid_speaking_01_01,"child speech, kid speaking."
child_speech_kid_speaking_02_01,"The sound of child speech, kid speaking."
child_speech_kid_speaking_03_01,"An audio clip of child speech, kid speaking."
slot_machine_01_01,slot machine.
slot_machine_02_01,The sound of slot machine.
slot_machine_03_01,An audio clip of slot machine.
lions_growling_01_01,lions growling.
lions_growling_02_01,The sound of lions growling.
lions_growling_03_01,An audio clip of lions growling.
playing_flute_01_01,playing flute.
playing_flute_02_01,The sound of playing flute.
playing_flute_03_01,An audio clip of playing flute.
playing_synthesizer_01_01,playing synthesizer.
playing_synthesizer_02_01,The sound of playing synthesizer.
playing_synthesizer_03_01,An audio clip of playing synthesizer.
railroad_car_train_wagon_01_01,"railroad car, train wagon."
railroad_car_train_wagon_02_01,"The sound of railroad car, train wagon."
railroad_car_train_wagon_03_01,"An audio clip of railroad car, train wagon."
car_engine_knocking_01_01,car engine knocking.
car_engine_knocking_02_01,The sound of car engine knocking.
car_engine_knocking_03_01,An audio clip of car engine knocking.
playing_accordion_01_01,playing accordion.
playing_accordion_02_01,The sound of playing accordion.
playing_accordion_03_01,An audio clip of playing accordion.
sharpen_knife_01_01,sharpen knife.
sharpen_knife_02_01,The sound of sharpen knife.
sharpen_knife_03_01,An audio clip of sharpen knife.
playing_drum_kit_01_01,playing drum kit.
playing_drum_kit_02_01,The sound of playing drum kit.
playing_drum_kit_03_01,An audio clip of playing drum kit.
playing_trombone_01_01,playing trombone.
playing_trombone_02_01,The sound of playing trombone.
playing_trombone_03_01,An audio clip of playing trombone.
train_whistling_01_01,train whistling.
train_whistling_02_01,The sound of train whistling.
train_whistling_03_01,An audio clip of train whistling.
reversing_beeps_01_01,reversing beeps.
reversing_beeps_02_01,The sound of reversing beeps.
reversing_beeps_03_01,An audio clip of reversing beeps.
singing_choir_01_01,singing choir.
singing_choir_02_01,The sound of singing choir.
singing_choir_03_01,An audio clip of singing choir.
chainsawing_trees_01_01,chainsawing trees.
chainsawing_trees_02_01,The sound of chainsawing trees.
chainsawing_trees_03_01,An audio clip of chainsawing trees.
printer_printing_01_01,printer printing.
printer_printing_02_01,The sound of printer printing.
printer_printing_03_01,An audio clip of printer printing.
chicken_clucking_01_01,chicken clucking.
chicken_clucking_02_01,The sound of chicken clucking.
chicken_clucking_03_01,An audio clip of chicken clucking.
underwater_bubbling_01_01,underwater bubbling.
underwater_bubbling_02_01,The sound of underwater bubbling.
underwater_bubbling_03_01,An audio clip of underwater bubbling.
people_nose_blowing_01_01,people nose blowing.
people_nose_blowing_02_01,The sound of people nose blowing.
people_nose_blowing_03_01,An audio clip of people nose blowing.
ice_cracking_01_01,ice cracking.
ice_cracking_02_01,The sound of ice cracking.
ice_cracking_03_01,An audio clip of ice cracking.
playing_lacrosse_01_01,playing lacrosse.
playing_lacrosse_02_01,The sound of playing lacrosse.
playing_lacrosse_03_01,An audio clip of playing lacrosse.
playing_timpani_01_01,playing timpani.
playing_timpani_02_01,The sound of playing timpani.
playing_timpani_03_01,An audio clip of playing timpani.
tapping_guitar_01_01,tapping guitar.
tapping_guitar_02_01,The sound of tapping guitar.
tapping_guitar_03_01,An audio clip of tapping guitar.
turkey_gobbling_01_01,turkey gobbling.
turkey_gobbling_02_01,The sound of turkey gobbling.
turkey_gobbling_03_01,An audio clip of turkey gobbling.
door_slamming_01_01,door slamming.
door_slamming_02_01,The sound of door slamming.
door_slamming_03_01,An audio clip of door slamming.
playing_saxophone_01_01,playing saxophone.
playing_saxophone_02_01,The sound of playing saxophone.
playing_saxophone_03_01,An audio clip of playing saxophone.
playing_french_horn_01_01,playing french horn.
playing_french_horn_02_01,The sound of playing french horn.
playing_french_horn_03_01,An audio clip of playing french horn.
sea_waves_01_01,sea waves.
sea_waves_02_01,The sound of sea waves.
sea_waves_03_01,An audio clip of sea waves.
playing_clarinet_01_01,playing clarinet.
playing_clarinet_02_01,The sound of playing clarinet.
playing_clarinet_03_01,An audio clip of playing clarinet.
using_sewing_machines_01_01,using sewing machines.
using_sewing_machines_02_01,The sound of using sewing machines.
using_sewing_machines_03_01,An audio clip of using sewing machines.
vacuum_cleaner_cleaning_floors_01_01,vacuum cleaner cleaning floors.
vacuum_cleaner_cleaning_floors_02_01,The sound of vacuum cleaner cleaning floors.
vacuum_cleaner_cleaning_floors_03_01,An audio clip of vacuum cleaner cleaning floors.
playing_castanets_01_01,playing castanets.
playing_castanets_02_01,The sound of playing castanets.
playing_castanets_03_01,An audio clip of playing castanets.
pig_oinking_01_01,pig oinking.
pig_oinking_02_01,The sound of pig oinking.
pig_oinking_03_01,An audio clip of pig oinking.
lawn_mowing_01_01,lawn mowing.
lawn_mowing_02_01,The sound of lawn mowing.
lawn_mowing_03_01,An audio clip of lawn mowing.
basketball_bounce_01_01,basketball bounce.
basketball_bounce_02_01,The sound of basketball bounce.
basketball_bounce_03_01,An audio clip of basketball bounce.
eletric_blender_running_01_01,eletric blender running.
eletric_blender_running_02_01,The sound of eletric blender running.
eletric_blender_running_03_01,An audio clip of eletric blender running.
thunder_01_01,thunder.
thunder_02_01,The sound of thunder.
thunder_03_01,An audio clip of thunder.
dog_whimpering_01_01,dog whimpering.
dog_whimpering_02_01,The sound of dog whimpering.
dog_whimpering_03_01,An audio clip of dog whimpering.
car_engine_idling_01_01,car engine idling.
car_engine_idling_02_01,The sound of car engine idling.
car_engine_idling_03_01,An audio clip of car engine idling.
people_sobbing_01_01,people sobbing.
people_sobbing_02_01,The sound of people sobbing.
people_sobbing_03_01,An audio clip of people sobbing.
playing_theremin_01_01,playing theremin.
playing_theremin_02_01,The sound of playing theremin.
playing_theremin_03_01,An audio clip of playing theremin.
fox_barking_01_01,fox barking.
fox_barking_02_01,The sound of fox barking.
fox_barking_03_01,An audio clip of fox barking.
playing_ukulele_01_01,playing ukulele.
playing_ukulele_02_01,The sound of playing ukulele.
playing_ukulele_03_01,An audio clip of playing ukulele.
parrot_talking_01_01,parrot talking.
parrot_talking_02_01,The sound of parrot talking.
parrot_talking_03_01,An audio clip of parrot talking.
playing_cymbal_01_01,playing cymbal.
playing_cymbal_02_01,The sound of playing cymbal.
playing_cymbal_03_01,An audio clip of playing cymbal.
people_shuffling_01_01,people shuffling.
people_shuffling_02_01,The sound of people shuffling.
people_shuffling_03_01,An audio clip of people shuffling.
people_eating_noodle_01_01,people eating noodle.
people_eating_noodle_02_01,The sound of people eating noodle.
people_eating_noodle_03_01,An audio clip of people eating noodle.
playing_steelpan_01_01,playing steelpan.
playing_steelpan_02_01,The sound of playing steelpan.
playing_steelpan_03_01,An audio clip of playing steelpan.
people_farting_01_01,people farting.
people_farting_02_01,The sound of people farting.
people_farting_03_01,An audio clip of people farting.
running_electric_fan_01_01,running electric fan.
running_electric_fan_02_01,The sound of running electric fan.
running_electric_fan_03_01,An audio clip of running electric fan.
mouse_clicking_01_01,mouse clicking.
mouse_clicking_02_01,The sound of mouse clicking.
mouse_clicking_03_01,An audio clip of mouse clicking.
ice_cream_truck_ice_cream_van_01_01,"ice cream truck, ice cream van."
ice_cream_truck_ice_cream_van_02_01,"The sound of ice cream truck, ice cream van."
ice_cream_truck_ice_cream_van_03_01,"An audio clip of ice cream truck, ice cream van."
chopping_food_01_01,chopping food.
chopping_food_02_01,The sound of chopping food.
chopping_food_03_01,An audio clip of chopping food.
lathe_spinning_01_01,lathe spinning.
lathe_spinning_02_01,The sound of lathe spinning.
lathe_spinning_03_01,An audio clip of lathe spinning.
playing_tympani_01_01,playing tympani.
playing_tympani_02_01,The sound of playing tympani.
playing_tympani_03_01,An audio clip of playing tympani.
canary_calling_01_01,canary calling.
canary_calling_02_01,The sound of canary calling.
canary_calling_03_01,An audio clip of canary calling.
helicopter_01_01,helicopter.
helicopter_02_01,The sound of helicopter.
helicopter_03_01,An audio clip of helicopter.
playing_sitar_01_01,playing sitar.
playing_sitar_02_01,The sound of playing sitar.
playing_sitar_03_01,An audio clip of playing sitar.
people_screaming_01_01,people screaming.
people_screaming_02_01,The sound of people screaming.
people_screaming_03_01,An audio clip of people screaming.
baby_crying_01_01,baby crying.
baby_crying_02_01,The sound of baby crying.
baby_crying_03_01,An audio clip of baby crying.
cell_phone_buzzing_01_01,cell phone buzzing.
cell_phone_buzzing_02_01,The sound of cell phone buzzing.
cell_phone_buzzing_03_01,An audio clip of cell phone buzzing.
train_horning_01_01,train horning.
train_horning_02_01,The sound of train horning.
train_horning_03_01,An audio clip of train horning.
donkey_ass_braying_01_01,"donkey, ass braying."
donkey_ass_braying_02_01,"The sound of donkey, ass braying."
donkey_ass_braying_03_01,"An audio clip of donkey, ass braying."
striking_pool_01_01,striking pool.
striking_pool_02_01,The sound of striking pool.
striking_pool_03_01,An audio clip of striking pool.
cat_meowing_01_01,cat meowing.
cat_meowing_02_01,The sound of cat meowing.
cat_meowing_03_01,An audio clip of cat meowing.
tractor_digging_01_01,tractor digging.
tractor_digging_02_01,The sound of tractor digging.
tractor_digging_03_01,An audio clip of tractor digging.
playing_hammond_organ_01_01,playing hammond organ.
playing_hammond_organ_02_01,The sound of playing hammond organ.
playing_hammond_organ_03_01,An audio clip of playing hammond organ.
mouse_pattering_01_01,mouse pattering.
mouse_pattering_02_01,The sound of mouse pattering.
mouse_pattering_03_01,An audio clip of mouse pattering.
people_hiccup_01_01,people hiccup.
people_hiccup_02_01,The sound of people hiccup.
people_hiccup_03_01,An audio clip of people hiccup.
air_conditioning_noise_01_01,air conditioning noise.
air_conditioning_noise_02_01,The sound of air conditioning noise.
air_conditioning_noise_03_01,An audio clip of air conditioning noise.
playing_snare_drum_01_01,playing snare drum.
playing_snare_drum_02_01,The sound of playing snare drum.
playing_snare_drum_03_01,An audio clip of playing snare drum.
penguins_braying_01_01,penguins braying.
penguins_braying_02_01,The sound of penguins braying.
penguins_braying_03_01,An audio clip of penguins braying.
playing_hockey_01_01,playing hockey.
playing_hockey_02_01,The sound of playing hockey.
playing_hockey_03_01,An audio clip of playing hockey.
wood_thrush_calling_01_01,wood thrush calling.
wood_thrush_calling_02_01,The sound of wood thrush calling.
wood_thrush_calling_03_01,An audio clip of wood thrush calling.
stream_burbling_01_01,stream burbling.
stream_burbling_02_01,The sound of stream burbling.
stream_burbling_03_01,An audio clip of stream burbling.
playing_marimba_xylophone_01_01,"playing marimba, xylophone."
playing_marimba_xylophone_02_01,"The sound of playing marimba, xylophone."
playing_marimba_xylophone_03_01,"An audio clip of playing marimba, xylophone."
baby_laughter_01_01,baby laughter.
baby_laughter_02_01,The sound of baby laughter.
baby_laughter_03_01,An audio clip of baby laughter.
playing_tambourine_01_01,playing tambourine.
playing_tambourine_02_01,The sound of playing tambourine.
playing_tambourine_03_01,An audio clip of playing tambourine.
singing_bowl_01_01,singing bowl.
singing_bowl_02_01,The sound of singing bowl.
singing_bowl_03_01,An audio clip of singing bowl.
engine_accelerating_revving_vroom_01_01,"engine accelerating, revving, vroom."
engine_accelerating_revving_vroom_02_01,"The sound of engine accelerating, revving, vroom."
engine_accelerating_revving_vroom_03_01,"An audio clip of engine accelerating, revving, vroom."
yodelling_01_01,yodelling.
yodelling_02_01,The sound of yodelling.
yodelling_03_01,An audio clip of yodelling.
machine_gun_shooting_01_01,machine gun shooting.
machine_gun_shooting_02_01,The sound of machine gun shooting.
machine_gun_shooting_03_01,An audio clip of machine gun shooting.
electric_grinder_grinding_01_01,electric grinder grinding.
electric_grinder_grinding_02_01,The sound of electric grinder grinding.
electric_grinder_grinding_03_01,An audio clip of electric grinder grinding.
swimming_01_01,swimming.
swimming_02_01,The sound of swimming.
swimming_03_01,An audio clip of swimming.
electric_shaver_electric_razor_shaving_01_01,"electric shaver, electric razor shaving."
electric_shaver_electric_razor_shaving_02_01,"The sound of electric shaver, electric razor shaving."
electric_shaver_electric_razor_shaving_03_01,"An audio clip of electric shaver, electric razor shaving."
people_babbling_01_01,people babbling.
people_babbling_02_01,The sound of people babbling.
people_babbling_03_01,An audio clip of people babbling.
police_car_(siren)_01_01,police car (siren).
police_car_(siren)_02_01,The sound of police car (siren).
police_car_(siren)_03_01,An audio clip of police car (siren).
opening_or_closing_car_doors_01_01,opening or closing car doors.
opening_or_closing_car_doors_02_01,The sound of opening or closing car doors.
opening_or_closing_car_doors_03_01,An audio clip of opening or closing car doors.
fireworks_banging_01_01,fireworks banging.
fireworks_banging_02_01,The sound of fireworks banging.
fireworks_banging_03_01,An audio clip of fireworks banging.
people_giggling_01_01,people giggling.
people_giggling_02_01,The sound of people giggling.
people_giggling_03_01,An audio clip of people giggling.
playing_djembe_01_01,playing djembe.
playing_djembe_02_01,The sound of playing djembe.
playing_djembe_03_01,An audio clip of playing djembe.
baltimore_oriole_calling_01_01,baltimore oriole calling.
baltimore_oriole_calling_02_01,The sound of baltimore oriole calling.
baltimore_oriole_calling_03_01,An audio clip of baltimore oriole calling.
sliding_door_01_01,sliding door.
sliding_door_02_01,The sound of sliding door.
sliding_door_03_01,An audio clip of sliding door.
typing_on_computer_keyboard_01_01,typing on computer keyboard.
typing_on_computer_keyboard_02_01,The sound of typing on computer keyboard.
